,state,dates
1037,AP,2021-06-07
1038,AP,2021-06-08
1039,AP,2021-06-09
1040,AP,2021-06-10
1041,AP,2021-06-11
1042,AP,2021-06-12
1043,AP,2021-06-13
1044,AP,2021-06-14
1045,AP,2021-06-15
1046,AP,2021-06-16
1047,AP,2021-06-17
1048,AP,2021-06-18
1049,AP,2021-06-19
1050,AP,2021-06-20
1051,AP,2021-06-21
1052,AP,2021-06-22
1053,AP,2021-06-23
1054,AP,2021-06-24
1055,AP,2021-06-25
1056,AP,2021-06-26
1057,AP,2021-06-27
1058,AP,2021-06-28
1059,AP,2021-06-29
1060,AP,2021-06-30
1061,AP,2021-07-01
1062,AP,2021-07-02
1063,AP,2021-07-03
1064,AP,2021-07-04
1065,AP,2021-07-05
1066,AP,2021-07-06
1067,AP,2021-07-07
1068,AP,2021-07-08
1069,AP,2021-07-09
1070,AP,2021-07-10
1071,AP,2021-07-11
1072,AP,2021-07-12
1073,AP,2021-07-13
1074,AP,2021-07-14
1075,AP,2021-07-15
1076,AP,2021-07-16
1077,AP,2021-07-17
1078,AP,2021-07-18
1079,AP,2021-07-19
1080,AP,2021-07-20
1081,AP,2021-07-21
1082,AP,2021-07-22
1083,AP,2021-07-23
1084,AP,2021-07-24
1085,AP,2021-07-25
1086,AP,2021-07-26
1087,AP,2021-07-27
1088,AP,2021-07-28
1089,AP,2021-07-29
1090,AP,2021-07-30
1091,AP,2021-07-31
1092,AP,2021-08-01
1093,AP,2021-08-02
1094,AP,2021-08-03
1095,AP,2021-08-04
1096,AP,2021-08-05
1097,AP,2021-08-06
1098,AP,2021-08-07
1099,AP,2021-08-08
1100,AP,2021-08-09
1101,AP,2021-08-10
1102,AP,2021-08-11
1103,AP,2021-08-12
1104,AP,2021-08-13
1105,AP,2021-08-14
1106,AP,2021-08-15
1107,AP,2021-08-16
1108,AP,2021-08-17
1109,AP,2021-08-18
1110,AP,2021-08-19
1111,AP,2021-08-20
1112,AP,2021-08-21
1113,AP,2021-08-22
1114,AP,2021-08-23
1115,AP,2021-08-24
1116,AP,2021-08-25
1117,AP,2021-08-26
1118,AP,2021-08-27
1119,AP,2021-08-28
1120,AP,2021-08-29
1121,AP,2021-08-30
1122,AP,2021-08-31
1123,AP,2021-09-01
1124,AP,2021-09-02
1125,AP,2021-09-03
1126,AP,2021-09-04
1127,AP,2021-09-05
1128,AP,2021-09-06
1129,AP,2021-09-07
1130,AP,2021-09-08
1131,AP,2021-09-09
1132,AP,2021-09-10
1133,AP,2021-09-11
1134,AP,2021-09-12
1135,AP,2021-09-13
1136,AP,2021-09-14
1137,AP,2021-09-15
1138,AP,2021-09-16
1139,AP,2021-09-17
1140,AP,2021-09-18
1141,AP,2021-09-19
1142,AP,2021-09-20
1143,AP,2021-09-21
1144,AP,2021-09-22
1145,AP,2021-09-23
1146,AP,2021-09-24
1147,AP,2021-09-25
1148,AP,2021-09-26
1149,AP,2021-09-27
1150,AP,2021-09-28
