districts,vaccinated1,vaccinated2,confirmed,deceased,recovered,tested
Rajgarh,1025584,450099,8729,172,8490,46604
Ratlam,1026416,457972,17860,385,17438,51736
Rewa,1639826,674779,16433,155,16270,22690
Sagar,1563245,760746,16622,390,16154,64801
Satna,1532585,481540,11965,133,11829,28159
Sehore,909045,396375,10136,73,10057,45061
Seoni,945564,341871,6775,28,6739,15024
Shahdol,723227,337272,10085,118,9958,18177
Shajapur,620316,278912,6349,74,6273,56805
Sheopur,413195,140296,4000,78,3919,31449
Shivpuri,1109976,391707,12398,125,12261,47270
Sidhi,679862,226632,9219,87,9132,4660
Singrauli,740335,224966,8801,82,8706,0
Tikamgarh,919592,293885,6863,114,6742,43011
Ujjain,1452247,836514,18903,172,18720,31631
Umaria,455492,196492,6294,63,6224,54811
Unknown,0,0,1416,1493,1632,0
